,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PTS,Player,Pos,STL,Season,TOV,TRB,Tm,eFG%
944,,,,,,,,,,,,,,,,,,,,,,,,Ubiratan Pereira Maciel,,,,,,,
945,13250.0,0.52,25501.0,85.0,0.275,309.0,5085.0,,1125.0,11100.0,13335.0,0.517,25810.0,9619.0,0.742,12963.0,1434.0,1429.0,NBA,53479.0,3501.0,4462.0,36374.0,Ubiratan Pereira Maciel,,2035.0,18 seasons,4421.0,14601.0,UTA,0.518
946,193.0,0.484,399.0,0.0,0.0,1.0,163.0,,20.0,306.0,193.0,0.483,400.0,168.0,0.747,225.0,42.0,42.0,NBA,1373.0,61.0,116.0,554.0,Ubiratan Pereira Maciel,,50.0,1 season,103.0,367.0,LAL,0.483
947,257.0,0.475,541.0,4.0,0.174,23.0,169.0,22.0,52.0,183.0,261.0,0.46299999999999997,564.0,99.0,0.5760000000000001,172.0,79.0,0.0,NBA,1650.0,115.0,214.0,625.0,Dennis Rodman,SF,91.0,1987-88,131.0,298.0,CHI,0.466
948,392.0,0.496,790.0,21.0,0.273,77.0,256.0,23.0,61.0,307.0,413.0,0.47600000000000003,867.0,201.0,0.6679999999999999,301.0,73.0,56.0,NBA,2413.0,138.0,261.0,1048.0,Dennis Rodman,SF,139.0,1988-89,199.0,445.0,CHI,0.488
949,534.0,0.514,1038.0,28.0,0.25,112.0,444.0,24.0,101.0,397.0,562.0,0.489,1150.0,199.0,0.675,295.0,82.0,82.0,NBA,3148.0,150.0,298.0,1351.0,Dennis Rodman,SF,211.0,1989-90,278.0,547.0,CHI,0.501
950,579.0,0.534,1085.0,21.0,0.309,68.0,511.0,25.0,93.0,432.0,600.0,0.52,1153.0,240.0,0.706,340.0,82.0,82.0,NBA,3014.0,163.0,270.0,1461.0,Dennis Rodman,SF,193.0,1990-91,232.0,595.0,CHI,0.529
951,671.0,0.525,1279.0,16.0,0.2,80.0,572.0,26.0,93.0,445.0,687.0,0.506,1359.0,330.0,0.76,434.0,82.0,82.0,NBA,3164.0,185.0,242.0,1720.0,Dennis Rodman,SF,155.0,1991-92,253.0,630.0,CHI,0.511
952,606.0,0.491,1234.0,22.0,0.237,93.0,507.0,27.0,73.0,418.0,628.0,0.473,1327.0,232.0,0.6629999999999999,350.0,81.0,81.0,NBA,3123.0,203.0,219.0,1510.0,Dennis Rodman,SF,173.0,1992-93,246.0,621.0,CHI,0.48200000000000004
953,564.0,0.522,1081.0,63.0,0.32,197.0,403.0,28.0,58.0,456.0,627.0,0.491,1278.0,270.0,0.66,409.0,72.0,72.0,NBA,2759.0,173.0,227.0,1587.0,Dennis Rodman,SF,211.0,1993-94,232.0,629.0,CHI,0.515
