,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PTS,Player,Pos,STL,Season,TOV,TRB,Tm,eFG%
564,7408.0,0.44799999999999995,16523.0,1059.0,0.313,3383.0,5624.0,,164.0,2649.0,8467.0,0.425,19906.0,6375.0,0.78,8168.0,914.0,901.0,NBA,37584.0,745.0,1777.0,24368.0,Tracy McGrady,,1983.0,Career,3262.0,3394.0,,0.452
565,,,,,,,,,,,,,,,,,,,,,,,,Tracy McGrady,,,,,,,
566,6077.0,0.444,13679.0,885.0,0.309,2864.0,4385.0,,134.0,2171.0,6962.0,0.42100000000000004,16543.0,5122.0,0.779,6576.0,722.0,717.0,NBA,29879.0,651.0,1503.0,19931.0,Tracy McGrady,,1644.0,12 seasons,2662.0,2822.0,PHI,0.44799999999999995
567,1013.0,0.479,2116.0,147.0,0.344,427.0,965.0,,25.0,337.0,1160.0,0.456,2543.0,994.0,0.79,1258.0,135.0,134.0,NBA,5668.0,66.0,186.0,3461.0,Tracy McGrady,,253.0,3 seasons,457.0,403.0,DEN,0.485
568,304.0,0.43200000000000005,703.0,26.0,0.28600000000000003,91.0,263.0,,5.0,138.0,330.0,0.41600000000000004,794.0,253.0,0.7859999999999999,322.0,54.0,50.0,NBA,1970.0,27.0,83.0,939.0,Tracy McGrady,,85.0,1 season,136.0,165.0,DET,0.43200000000000005
569,14.0,0.56,25.0,1.0,1.0,1.0,11.0,,0.0,3.0,15.0,0.5770000000000001,26.0,6.0,0.5,12.0,3.0,0.0,NBA,67.0,1.0,5.0,37.0,Tracy McGrady,,1.0,1 season,7.0,4.0,MEM,0.596
570,273.0,0.44799999999999995,610.0,117.0,0.39299999999999996,298.0,210.0,21.0,10.0,229.0,390.0,0.43,908.0,205.0,0.823,249.0,82.0,81.0,NBA,2532.0,97.0,218.0,1102.0,Maurice Cheeks,SG,75.0,1996-97,149.0,326.0,MIL,0.494
571,429.0,0.45299999999999996,947.0,134.0,0.364,368.0,356.0,22.0,12.0,278.0,563.0,0.428,1315.0,342.0,0.875,391.0,82.0,82.0,NBA,3287.0,127.0,244.0,1602.0,Maurice Cheeks,SG,111.0,1997-98,263.0,405.0,MIL,0.479
572,229.0,0.49200000000000005,465.0,74.0,0.35600000000000004,208.0,178.0,23.0,7.0,155.0,303.0,0.45,673.0,176.0,0.903,195.0,50.0,50.0,NBA,1719.0,57.0,117.0,856.0,Maurice Cheeks,SG,53.0,1998-99,122.0,212.0,MIL,0.505
573,470.0,0.46799999999999997,1004.0,172.0,0.423,407.0,308.0,24.0,19.0,276.0,642.0,0.455,1411.0,353.0,0.887,398.0,82.0,82.0,NBA,3070.0,83.0,187.0,1809.0,Maurice Cheeks,SG,110.0,1999-00,183.0,359.0,MIL,0.516
574,426.0,0.506,842.0,202.0,0.433,467.0,374.0,25.0,20.0,327.0,628.0,0.48,1309.0,348.0,0.888,392.0,82.0,82.0,NBA,3129.0,101.0,192.0,1806.0,Maurice Cheeks,SG,124.0,2000-01,204.0,428.0,MIL,0.557
575,301.0,0.485,620.0,229.0,0.434,528.0,271.0,26.0,18.0,231.0,530.0,0.462,1148.0,214.0,0.873,245.0,69.0,67.0,NBA,2525.0,81.0,157.0,1503.0,Maurice Cheeks,SG,88.0,2001-02,159.0,312.0,MIL,0.561
576,397.0,0.478,830.0,201.0,0.377,533.0,334.0,27.0,14.0,287.0,598.0,0.439,1363.0,316.0,0.9159999999999999,345.0,76.0,75.0,NBA,2880.0,94.0,220.0,1713.0,Maurice Cheeks,SG,103.0,2002-03,198.0,381.0,TOT,0.512
577,228.0,0.46299999999999997,492.0,123.0,0.395,311.0,164.0,27.0,11.0,173.0,351.0,0.43700000000000006,803.0,178.0,0.9129999999999999,195.0,47.0,46.0,NBA,1683.0,45.0,149.0,1003.0,Maurice Cheeks,SG,57.0,2002-03,117.0,218.0,MIL,0.514
578,169.0,0.5,338.0,78.0,0.35100000000000003,222.0,170.0,27.0,3.0,114.0,247.0,0.441,560.0,138.0,0.92,150.0,29.0,29.0,NBA,1197.0,49.0,71.0,710.0,Maurice Cheeks,SG,46.0,2002-03,81.0,163.0,SEA,0.511
579,299.0,0.46799999999999997,639.0,148.0,0.392,378.0,268.0,28.0,11.0,217.0,447.0,0.44,1017.0,245.0,0.904,271.0,56.0,56.0,NBA,2152.0,69.0,132.0,1287.0,Maurice Cheeks,SG,71.0,2003-04,156.0,286.0,SEA,0.512
580,431.0,0.45899999999999996,938.0,209.0,0.376,556.0,289.0,29.0,5.0,268.0,640.0,0.428,1494.0,378.0,0.883,428.0,78.0,78.0,NBA,3064.0,79.0,167.0,1867.0,Maurice Cheeks,SG,84.0,2004-05,171.0,347.0,SEA,0.498
581,412.0,0.486,847.0,269.0,0.41200000000000003,653.0,286.0,30.0,16.0,261.0,681.0,0.45399999999999996,1500.0,324.0,0.903,359.0,78.0,78.0,NBA,3022.0,71.0,151.0,1955.0,Maurice Cheeks,SG,105.0,2005-06,188.0,332.0,SEA,0.544
582,340.0,0.479,710.0,165.0,0.37200000000000005,443.0,228.0,31.0,11.0,190.0,505.0,0.43799999999999994,1153.0,279.0,0.903,309.0,55.0,55.0,NBA,2219.0,57.0,113.0,1454.0,Maurice Cheeks,SG,82.0,2006-07,154.0,247.0,SEA,0.51
583,259.0,0.485,534.0,180.0,0.39799999999999996,452.0,225.0,32.0,16.0,193.0,439.0,0.445,986.0,215.0,0.907,237.0,73.0,73.0,NBA,2624.0,75.0,147.0,1273.0,Maurice Cheeks,SG,65.0,2007-08,127.0,268.0,BOS,0.537
584,300.0,0.542,554.0,199.0,0.409,486.0,218.0,33.0,13.0,212.0,499.0,0.48,1040.0,237.0,0.9520000000000001,249.0,79.0,79.0,NBA,2876.0,66.0,157.0,1434.0,Maurice Cheeks,SG,69.0,2008-09,134.0,278.0,BOS,0.575
585,319.0,0.556,574.0,145.0,0.363,399.0,210.0,34.0,25.0,208.0,464.0,0.47700000000000004,973.0,231.0,0.9129999999999999,253.0,80.0,80.0,NBA,2819.0,45.0,182.0,1304.0,Maurice Cheeks,SG,64.0,2009-10,129.0,253.0,BOS,0.551
586,312.0,0.52,600.0,168.0,0.444,378.0,219.0,35.0,16.0,223.0,480.0,0.491,978.0,193.0,0.8809999999999999,219.0,80.0,80.0,NBA,2890.0,51.0,147.0,1321.0,Maurice Cheeks,SG,77.0,2010-11,117.0,274.0,BOS,0.5770000000000001
587,120.0,0.46299999999999997,259.0,106.0,0.45299999999999996,234.0,109.0,36.0,8.0,128.0,226.0,0.45799999999999996,493.0,97.0,0.915,106.0,46.0,42.0,NBA,1565.0,14.0,83.0,655.0,Maurice Cheeks,SG,49.0,2011-12,68.0,142.0,BOS,0.5660000000000001
588,153.0,0.48,319.0,139.0,0.419,332.0,135.0,37.0,15.0,177.0,292.0,0.449,651.0,140.0,0.8859999999999999,158.0,79.0,0.0,NBA,2035.0,40.0,129.0,863.0,Maurice Cheeks,SG,67.0,2012-13,103.0,217.0,MIA,0.555
589,124.0,0.53,234.0,116.0,0.375,309.0,143.0,38.0,8.0,182.0,240.0,0.442,543.0,105.0,0.905,116.0,73.0,9.0,NBA,1936.0,23.0,115.0,701.0,Maurice Cheeks,SG,54.0,2013-14,84.0,205.0,MIA,0.5489999999999999
590,5594.0,0.485,11526.0,2973.0,0.4,7429.0,4361.0,,244.0,4042.0,8567.0,0.452,18955.0,4398.0,0.894,4920.0,1300.0,1149.0,NBA,46344.0,1230.0,2858.0,24505.0,Maurice Cheeks,,1451.0,Career,2709.0,5272.0,,0.53
