,2P,2P%,2PA,3P,3P%,3PA,AST,Age,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,G,GS,Lg,MP,ORB,PF,PTS,Player,Pos,STL,Season,TOV,TRB,Tm,eFG%
681,438,0.541,810,58,0.345,168,1164,28,16,191,496,0.507,978,363,0.836,434,82,82,NBA,3103,46,233,1413,Cynthia Cooper-Dyke,PG,234,1990-91,298,237,UTA,0.537
682,370,0.503,735,83,0.407,204,1126,29,22,202,453,0.482,939,308,0.842,366,82,82,NBA,3002,68,234,1297,Cynthia Cooper-Dyke,PG,244,1991-92,286,270,UTA,0.527
683,365,0.513,712,72,0.385,187,987,30,21,173,437,0.486,899,293,0.798,367,82,82,NBA,2863,64,224,1239,Cynthia Cooper-Dyke,PG,199,1992-93,266,237,UTA,0.526
684,410,0.57,719,48,0.322,149,1031,31,22,186,458,0.528,868,272,0.805,338,82,82,NBA,2969,72,236,1236,Cynthia Cooper-Dyke,PG,199,1993-94,266,258,UTA,0.555
685,327,0.58,564,102,0.449,227,1011,32,22,194,429,0.542,791,246,0.804,306,82,82,NBA,2867,57,215,1206,Cynthia Cooper-Dyke,PG,194,1994-95,267,251,UTA,0.607
686,345,0.582,593,95,0.422,225,916,33,15,172,440,0.538,818,234,0.83,282,82,82,NBA,2915,54,207,1209,Cynthia Cooper-Dyke,PG,140,1995-96,246,226,UTA,0.596
687,340,0.587,579,76,0.422,180,860,34,15,183,416,0.548,759,275,0.846,325,82,82,NBA,2896,45,194,1183,Cynthia Cooper-Dyke,PG,166,1996-97,248,228,UTA,0.598
688,231,0.55,420,39,0.429,91,543,35,10,131,270,0.528,511,191,0.827,231,64,64,NBA,1858,35,138,770,Cynthia Cooper-Dyke,PG,89,1997-98,161,166,UTA,0.567
689,184,0.511,360,16,0.32,50,374,36,13,115,200,0.488,410,137,0.811,169,50,50,NBA,1410,31,107,553,Cynthia Cooper-Dyke,PG,81,1998-99,110,146,UTA,0.507
690,320,0.53,604,43,0.355,121,703,37,15,170,363,0.501,725,221,0.86,257,82,82,NBA,2432,45,192,990,Cynthia Cooper-Dyke,PG,143,1999-00,179,215,UTA,0.53
691,267,0.514,519,61,0.462,132,713,38,21,173,328,0.504,651,227,0.817,278,82,82,NBA,2397,54,194,944,Cynthia Cooper-Dyke,PG,132,2000-01,203,227,UTA,0.551
692,376,0.539,697,25,0.321,78,674,39,24,204,401,0.517,775,275,0.857,321,82,82,NBA,2566,59,209,1102,Cynthia Cooper-Dyke,PG,152,2001-02,208,263,UTA,0.534
